name,UserFees_info,Fees_info,Revenue_info,ProtocolRevenue_info,HoldersRevenue_info,SupplySideRevenue_info,total24h,total7d,total30d,id,symbol,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,status,pe30d,pe7d,pe24h,date
alchemix,Fees paid by users,Fees paid by users,Fees paid by users,Percentage of fees going to treasury,,LPs revenue,19134.725426948084,46216.82949124103,88320.48398690658,alchemix,alcx,https://assets.coingecko.com/coins/images/14113/large/Alchemix.png?1696513834,18.94,38.415254,616.0,52704135.0,2601803.0,19.45,18.84,-0.29581186883953237,-1.53754,-698089.0456673354,-1.78478,2030212.302453451,2785367.02951032,2785367.02951032,2066.2,-99.08252,2021-03-20T19:33:19.740Z,10.29,84.1667,2023-09-11T14:51:02.684Z,,2023-12-06T19:09:52.558Z,,36.246078170736155,18.471027123851027,5.500328271481409,2023-12-06 19:10:46.926613
arbitrum,Fees paid by users to sequencer,Fees collected by sequencer paid by users,ETH earned from user fees minus cost to send transactions in L1,ETH earned from user fees minus cost to send transactions in L1,,,344287.4299639399,1311758.512530706,6142328.700376131,arbitrum,arb,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,1.08,1376.222095,53.0,10793898784.0,349354475.0,1.11,1.061,-0.007533588708913631,-0.69303,-9321534.048909664,-0.67277,1275000000.0,10000000000.0,10000000000.0,8.67,-87.55345,2023-03-23T13:10:03.106Z,0.744925,44.91678,2023-09-11T19:40:49.196Z,,2023-12-06T19:09:33.145Z,,18.671285790405598,23.314286074820757,10.951522376363256,2023-12-06 19:10:46.926613
aurora,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,475.4236852512568,1229.4393844002927,3644.6391754565125,aurora-near,aurora,https://assets.coingecko.com/coins/images/20582/large/aurora.jpeg?1696519989,0.424903,165.587131,242.0,426303691.0,32987974.0,0.519867,0.348652,-0.0698838030269402,-14.12402,-25472825.31916222,-13.33237,388425280.0,1000000000.0,1000000000.0,35.4,-98.79837,2022-01-16T22:13:43.382Z,0.04736812,797.99628,2023-10-19T15:59:56.174Z,,2023-12-06T19:09:28.655Z,,3786.088805788281,2993.0015817877406,954.2296412156728,2023-12-06 19:10:46.926613
avalanche,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,38476.04589805203,187703.3814445142,2628908.913673779,avalanche-2,avax,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,27.19,9965.182376,11.0,11819373787.0,1614124807.0,27.52,23.45,3.33,13.94147,1321128821.0,15.28367,365636417.671467,433669282.462696,720000000.0,144.96,-81.17646,2021-11-21T14:18:56.538Z,2.8,874.15968,2020-12-31T13:15:21.540Z,,2023-12-06T19:09:32.380Z,,315.8846091423443,1179.7789445253302,709.5809583871485,2023-12-06 19:10:46.926613
bananagun,,,,,,,88461.72375854226,549168.0111058588,1802492.0897158585,banana-gun,banana,https://assets.coingecko.com/coins/images/31744/large/bgg.jpeg?1696530563,17.19,41.311279,589.0,172130331.0,2625333.0,17.74,16.51,0.02667354,0.15538,58043.0,0.1407,2400000.0,10000000.0,,18.23,-5.58969,2023-12-02T16:40:40.566Z,5.13,235.49915,2023-10-12T18:30:07.775Z,,2023-12-06T19:09:52.063Z,,1.9099149466314826,1.6716713349227856,1.2794413390620885,2023-12-06 19:10:46.926613
bitcoin,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,6382363.29202011,26407868.259296924,155330131.94647253,bitcoin,btc,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,43943.0,859618.460692,1.0,922771491501.0,35079494638.0,44368.0,43464.0,207.77,0.47506,3647532535.0,0.42613,19562793.0,21000000.0,21000000.0,69045.0,-36.35804,2021-11-10T14:24:11.849Z,67.81,64701.78494,2013-07-06T00:00:00.000Z,,2023-12-06T19:09:32.658Z,,461.1782068724376,723.3689698939298,369.00423285738907,2023-12-06 19:10:46.926613
compound,Interest paid by borrowers,Interest paid by borrowers,Percentage of interest going to treasury,Percentage of interest going to treasury,,Interest paid to lenders,87344.61623457665,583907.1578193065,2755594.652010028,compound-governance-token,comp,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1696510737,51.74,355.111108,148.0,517950213.0,109125828.0,53.08,50.56,-0.32669656805378366,-0.62741,-550611.6704450846,-0.15481,6856085.76329154,10000000.0,10000000.0,910.54,-94.31355,2021-05-12T02:29:08.794Z,25.74,101.15338,2023-06-10T16:15:05.289Z,,2023-12-06T19:09:34.283Z,,10.73909484900018,13.51474776405735,11.13871910081551,2023-12-06 19:10:46.926613
convexfinance,No user fees,"Includes all treasury revenue, all revenue to CVX lockers and stakers and all revenue to liquid derivatives (cvxCRV, cvxFXS)",Sum of protocol revenue and holders' revenue,"Share of revenue going to Convex treasury (includes caller incentives on Frax pools, POL yield and Votemarket bribes)","All revenue going to CVX lockers and stakers, including bribes","All CRV, CVX and FXS rewards redistributed to liquidity providers staking on Convex.",29947.662383369516,498554.70121896476,4558337.6706625875,convex-finance,cvx,https://assets.coingecko.com/coins/images/15585/large/convex.png?1696515221,3.98,326.041085,156.0,394485641.0,8331202.0,3.99,3.85,0.02772407,0.70232,2427828.0,0.75023,81990703.72425415,99202697.8733724,100000000.0,60.09,-93.38006,2022-01-01T18:04:03.030Z,1.9,109.03941,2021-07-20T13:17:29.183Z,,2023-12-06T19:09:30.708Z,,5.960526046925632,14.532723142976222,29.827478189796473,2023-12-06 19:10:46.926613
cronos,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,6283.384346894682,37896.73828319651,186322.52846468362,crypto-com-chain,cro,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.098368,2603.876627,31.0,2957798444.0,25250632.0,0.099105,0.094614,0.00207874,2.15884,62304330.0,2.45141,26410284634.9424,30000000000.0,,0.965407,-89.77043,2021-11-24T15:53:54.855Z,0.0121196,714.85393,2019-02-08T00:00:00.000Z,,2023-12-06T19:09:30.825Z,,1164.5919616091717,1526.884045060454,1135.3608458869694,2023-12-06 19:10:46.926613
crvusd,Interest paid to borrow,Interest paid by borrowers,Interest paid by borrowers,Interest paid by borrowers,,,259213.99836560123,691925.033408178,1227621.517705901,crvusd,crvusd,https://assets.coingecko.com/coins/images/30118/large/crvusd.jpeg?1696529040,0.994229,147.045226,262.0,147045226.0,21458856.0,0.998214,0.989792,0.00119712,0.12055,-2121678.0272596776,-1.42235,147837799.479251,147837799.479251,,1.029,-3.399,2023-10-23T22:45:35.122Z,0.949016,4.7257,2023-08-08T06:24:06.210Z,,2023-12-06T19:09:26.093Z,,9.981715583018108,4.722580526958959,1.554173908110103,2023-12-06 19:10:46.926613
